,0,1,2,3,4
293,1672248928.3080533,1672248928.299934,1672248928.301715,1672248928.3051794,1672248928.3113692
294,1672248928.3236036,1672248928.31517,1672248928.3175023,1672248928.3197029,1672248928.326878
295,1672248928.3236036,1672248928.31517,1672248928.3175023,1672248928.3197029,1672248928.3283615
296,1672248928.3394065,1672248928.3315144,1672248928.3337538,1672248928.335685,1672248928.341777
297,1672248928.3556557,1672248928.3472428,1672248928.3496377,1672248928.351496,1672248928.3574643
298,1672248928.3556557,1672248928.3472428,1672248928.3496377,1672248928.351496,1672248928.3596222
299,1672248928.3707116,1672248928.3624694,1672248928.3651433,1672248928.367486,1672248928.3733766
300,1672248928.386392,1672248928.377956,1672248928.3810709,1672248928.3845353,1672248928.3886516
301,1672248928.386392,1672248928.377956,1672248928.3810709,1672248928.3845353,1672248928.3906093
302,1672248928.401478,1672248928.3934236,1672248928.3955631,1672248928.3991742,1672248928.4040914
